utc_timestamp,cet_cest_timestamp,DK_load_actual_entsoe_transparency,DK_load_forecast_entsoe_transparency,DK_solar_capacity,DK_solar_generation_actual,DK_wind_capacity,DK_wind_generation_actual,DK_wind_offshore_capacity,DK_wind_offshore_generation_actual,DK_wind_onshore_capacity,DK_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,489,,4643,,1264,,3379,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,3100.02,3126.8,489,,4643,2357.33,1264,902.71,3379,1454.62
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,2980.39,3019,489,,4643,2387.35,1264,830.87,3379,1556.48
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,2933.49,2976.3,489,,4643,2594.47,1264,915.43,3379,1679.04
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,2941.54,2982.5,489,0.01,4643,3092.01,1264,1056.28,3379,2035.73
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,2999.89,3025.3,489,0.01,4643,3270.63,1264,1068.07,3379,2202.56
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,3176.8,3124.6,489,0.01,4643,3502.55,1264,1141.11,3379,2361.44
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,3292.27,3249.1,489,0.03,4643,3706.07,1264,1162.82,3379,2543.25
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,3378.64,3434.4,489,1.5,4643,3847.48,1264,1190.68,3379,2656.8
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,3562.9,3640.5,489,6.18,4643,3867.69,1264,1164.29,3379,2703.4
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,3736.05,3725.5,489,8.42,4643,3906.23,1264,1153.76,3379,2752.47
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,3837.81,3795.6,489,8.23,4643,3878.78,1264,1106.18,3379,2772.6
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,3878.28,3839.6,489,6.17,4643,3837.86,1264,1130.8,3379,2707.06
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,3856.4,3867.7,489,2.2,4643,3577.58,1264,1035.91,3379,2541.67
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,3985.15,3941.5,489,0.19,4643,3527.85,1264,1023.46,3379,2504.39
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,4262.07,4286.4,489,0.01,4643,3632.61,1264,1067.99,3379,2564.62
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,4495.76,4586.7,489,0.01,4643,3835.65,1264,1168.41,3379,2667.24
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,4491.8,4521.8,489,0.01,4643,4069.17,1264,1205.46,3379,2863.71
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,4290.82,4293.6,489,0.01,4643,4249.29,1264,1216.52,3379,3032.77
