utc_timestamp,cet_cest_timestamp,NL_load_actual_entsoe_transparency,NL_load_forecast_entsoe_transparency,NL_solar_generation_actual,NL_wind_generation_actual,NL_wind_offshore_generation_actual,NL_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,9401,8937,,1451,145,1306
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,8957,8608,,1447,145,1302
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,8462,8462,,1479,148,1331
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,8156,8500,,1340,134,1206
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,8126,8880,,1402,140,1262
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,8292,9995,,1742,174,1568
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,8638,11882,,1698,170,1528
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,8927,13240,,1521,152,1369
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,9312,13817,40,1509,151,1358
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,9933,14072,125,1628,163,1465
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,10432,14182,247,1692,169,1522
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,11919,14036,313,1699,170,1529
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,11951,14014,283,1730,173,1557
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,12067,13916,179,1797,180,1617
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,11829,13895,86,1964,196,1767
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,12087,14432,14,1990,199,1791
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,12683,15195,0,2150,215,1935
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,12299,14731,0,2322,232,2089
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,11716,14195,0,2442,244,2198
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,11365,13534,0,2502,250,2252
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,10878,12661,0,2524,252,2271
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,10563,11685,0,2547,255,2292
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,9824,10702,0,2542,254,2288
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,8995,9701,0,2502,250,2252
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,8303,8999,0,2487,249,2239
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,7876,8628,0,2513,251,2262
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,7700,8476,0,2511,251,2260
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,7771,8499,0,2520,252,2268
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,8255,8868,0,2495,250,2246
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,9355,9991,0,2413,241,2172
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,10990,11798,0,2313,231,2082
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,12458,13186,0,2228,223,2005
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,13446,13899,2,2286,229,2057
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,14038,14232,24,2353,235,2118
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,14021,14313,56,2395,240,2156
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,13813,14129,110,2388,239,2149
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,13566,13962,185,2403,240,2163
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,13543,13776,194,2428,243,2185
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,13899,13637,116,2367,237,2130
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,14181,14101,19,2369,237,2132
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,15086,14978,0,2382,238,2143
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,14341,14522,0,2326,233,2094
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,13904,13873,0,2277,228,2049
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,13403,13155,0,2164,216,1947
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,12632,12330,0,2151,215,1936
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,11720,11455,0,2054,205,1849
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,11180,10604,0,1907,191,1717
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,10869,9676,0,1730,173,1557
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,10501,8926,0,1583,158,1424
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,10213,8504,0,1419,142,1277
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,10047,8312,0,1436,144,1292
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,9840,8282,0,1431,143,1288
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,10137,8465,0,1356,136,1221
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,10463,9021,0,1522,152,1369
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,11022,9998,0,1688,169,1519
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,11918,11213,0,1766,177,1589
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,12980,12314,2,1905,191,1715
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,13670,12950,6,1514,151,1362
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,14458,13168,10,1098,110,988
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,14821,13156,18,918,92,826
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,14856,12982,26,763,76,686
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,15101,12816,24,564,56,508
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,15457,12763,10,343,34,308
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,15728,13351,1,349,35,314
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,16127,14210,0,507,51,457
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,15663,13903,0,685,68,616
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,14800,13367,0,1004,100,904
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,13959,12677,0,1147,115,1032
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,13258,11857,0,1282,128,1153
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,12430,11181,0,1371,137,1234
2015-01-03T22:00:00Z,2015-01-03T23:00:00+0100,11604,10315,0,1477,148,1329
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,11033,9555,0,,,1539
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,10512,8842,0,,,1414
2015-01-04T01:00:00Z,2015-01-04T02:00:00+0100,9963,8412,0,,,1453
2015-01-04T02:00:00Z,2015-01-04T03:00:00+0100,9759,8207,0,,,1371
2015-01-04T03:00:00Z,2015-01-04T04:00:00+0100,9715,8167,0,,,1345
2015-01-04T04:00:00Z,2015-01-04T05:00:00+0100,9865,8260,0,,,1320
2015-01-04T05:00:00Z,2015-01-04T06:00:00+0100,10119,8537,0,,,1235
2015-01-04T06:00:00Z,2015-01-04T07:00:00+0100,10770,9099,0,,,1177
2015-01-04T07:00:00Z,2015-01-04T08:00:00+0100,11637,9925,0,,,1079
2015-01-04T08:00:00Z,2015-01-04T09:00:00+0100,12423,10697,23,,,981
2015-01-04T09:00:00Z,2015-01-04T10:00:00+0100,13200,11315,103,,,805
2015-01-04T10:00:00Z,2015-01-04T11:00:00+0100,13474,11671,194,,,745
2015-01-04T11:00:00Z,2015-01-04T12:00:00+0100,13384,11885,264,,,680
2015-01-04T12:00:00Z,2015-01-04T13:00:00+0100,13590,11799,277,,,626
2015-01-04T13:00:00Z,2015-01-04T14:00:00+0100,13786,11641,220,,,577
2015-01-04T14:00:00Z,2015-01-04T15:00:00+0100,13938,11658,119,,,535
2015-01-04T15:00:00Z,2015-01-04T16:00:00+0100,13947,12298,24,,,523
2015-01-04T16:00:00Z,2015-01-04T17:00:00+0100,15051,13666,0,,,546
2015-01-04T17:00:00Z,2015-01-04T18:00:00+0100,15182,13613,0,,,525
2015-01-04T18:00:00Z,2015-01-04T19:00:00+0100,15015,13229,0,,,398
2015-01-04T19:00:00Z,2015-01-04T20:00:00+0100,14561,12704,0,,,470
2015-01-04T20:00:00Z,2015-01-04T21:00:00+0100,14015,11983,0,,,608
2015-01-04T21:00:00Z,2015-01-04T22:00:00+0100,13172,11193,0,,,807
2015-01-04T22:00:00Z,2015-01-04T23:00:00+0100,12148,10135,0,,,890
2015-01-04T23:00:00Z,2015-01-05T00:00:00+0100,11476,9291,0,,,936
2015-01-05T00:00:00Z,2015-01-05T01:00:00+0100,10890,8678,0,,,965
2015-01-05T01:00:00Z,2015-01-05T02:00:00+0100,10460,8403,0,,,1093
2015-01-05T02:00:00Z,2015-01-05T03:00:00+0100,10373,8310,0,,,1064
2015-01-05T03:00:00Z,2015-01-05T04:00:00+0100,10550,8404,0,,,1097
2015-01-05T04:00:00Z,2015-01-05T05:00:00+0100,11098,8895,0,,,949
2015-01-05T05:00:00Z,2015-01-05T06:00:00+0100,13000,10195,0,,,764
2015-01-05T06:00:00Z,2015-01-05T07:00:00+0100,15444,12178,0,,,687
2015-01-05T07:00:00Z,2015-01-05T08:00:00+0100,17613,13849,0,,,617
2015-01-05T08:00:00Z,2015-01-05T09:00:00+0100,18253,14578,24,,,680
2015-01-05T09:00:00Z,2015-01-05T10:00:00+0100,18510,14806,104,,,672
2015-01-05T10:00:00Z,2015-01-05T11:00:00+0100,18724,14899,192,820,82,738
2015-01-05T11:00:00Z,2015-01-05T12:00:00+0100,17579,14762,236,756,76,681
2015-01-05T12:00:00Z,2015-01-05T13:00:00+0100,18717,14749,228,,,624
2015-01-05T13:00:00Z,2015-01-05T14:00:00+0100,18950,14619,167,,,576
2015-01-05T14:00:00Z,2015-01-05T15:00:00+0100,18826,14590,86,,,618
2015-01-05T15:00:00Z,2015-01-05T16:00:00+0100,18997,15159,17,,,608
2015-01-05T16:00:00Z,2015-01-05T17:00:00+0100,19272,16022,0,,,627
2015-01-05T17:00:00Z,2015-01-05T18:00:00+0100,18341,15335,0,,,623
2015-01-05T18:00:00Z,2015-01-05T19:00:00+0100,17568,14756,0,,,562
2015-01-05T19:00:00Z,2015-01-05T20:00:00+0100,16884,13920,0,,,495
2015-01-05T20:00:00Z,2015-01-05T21:00:00+0100,15951,12976,0,,,417
2015-01-05T21:00:00Z,2015-01-05T22:00:00+0100,14697,11886,0,,,369
2015-01-05T22:00:00Z,2015-01-05T23:00:00+0100,13708,10812,0,,,348
2015-01-05T23:00:00Z,2015-01-06T00:00:00+0100,12772,9757,0,,,307
2015-01-06T00:00:00Z,2015-01-06T01:00:00+0100,12082,9041,0,,,291
2015-01-06T01:00:00Z,2015-01-06T02:00:00+0100,11748,8693,0,,,255
2015-01-06T02:00:00Z,2015-01-06T03:00:00+0100,11644,8542,0,,,251
2015-01-06T03:00:00Z,2015-01-06T04:00:00+0100,11709,8590,0,,,243
2015-01-06T04:00:00Z,2015-01-06T05:00:00+0100,12060,9023,0,,,315
2015-01-06T05:00:00Z,2015-01-06T06:00:00+0100,13425,10256,0,,,362
2015-01-06T06:00:00Z,2015-01-06T07:00:00+0100,15997,12190,0,,,309
2015-01-06T07:00:00Z,2015-01-06T08:00:00+0100,18095,13805,0,,,325
2015-01-06T08:00:00Z,2015-01-06T09:00:00+0100,18585,14447,29,,,436
2015-01-06T09:00:00Z,2015-01-06T10:00:00+0100,18622,14660,96,,,451
2015-01-06T10:00:00Z,2015-01-06T11:00:00+0100,18387,14666,176,,,412
2015-01-06T11:00:00Z,2015-01-06T12:00:00+0100,18312,14481,194,,,397
2015-01-06T12:00:00Z,2015-01-06T13:00:00+0100,18192,14478,163,,,403
2015-01-06T13:00:00Z,2015-01-06T14:00:00+0100,18527,14428,114,,,489
2015-01-06T14:00:00Z,2015-01-06T15:00:00+0100,18547,14396,51,,,598
2015-01-06T15:00:00Z,2015-01-06T16:00:00+0100,18692,14884,11,,,719
2015-01-06T16:00:00Z,2015-01-06T17:00:00+0100,19266,15845,0,,,905
2015-01-06T17:00:00Z,2015-01-06T18:00:00+0100,18193,15258,0,,,1049
2015-01-06T18:00:00Z,2015-01-06T19:00:00+0100,17500,14710,0,,,1056
2015-01-06T19:00:00Z,2015-01-06T20:00:00+0100,16412,13929,0,,,1102
2015-01-06T20:00:00Z,2015-01-06T21:00:00+0100,15169,12982,0,,,1155
2015-01-06T21:00:00Z,2015-01-06T22:00:00+0100,14013,11907,0,,,1108
2015-01-06T22:00:00Z,2015-01-06T23:00:00+0100,13140,10848,0,,,961
2015-01-06T23:00:00Z,2015-01-07T00:00:00+0100,9597,9753,0,,,820
2015-01-07T00:00:00Z,2015-01-07T01:00:00+0100,8933,8978,0,,,734
2015-01-07T01:00:00Z,2015-01-07T02:00:00+0100,8625,8597,0,,,645
2015-01-07T02:00:00Z,2015-01-07T03:00:00+0100,8524,8437,0,,,607
2015-01-07T03:00:00Z,2015-01-07T04:00:00+0100,8611,8476,0,,,411
2015-01-07T04:00:00Z,2015-01-07T05:00:00+0100,9099,8892,0,,,493
2015-01-07T05:00:00Z,2015-01-07T06:00:00+0100,10602,10058,0,,,637
2015-01-07T06:00:00Z,2015-01-07T07:00:00+0100,13076,11913,0,,,692
2015-01-07T07:00:00Z,2015-01-07T08:00:00+0100,14724,13535,0,,,900
2015-01-07T08:00:00Z,2015-01-07T09:00:00+0100,15013,14332,32,,,1097
2015-01-07T09:00:00Z,2015-01-07T10:00:00+0100,14963,14635,119,,,1091
2015-01-07T10:00:00Z,2015-01-07T11:00:00+0100,14813,14665,218,,,1175
2015-01-07T11:00:00Z,2015-01-07T12:00:00+0100,14480,14419,287,,,1319
2015-01-07T12:00:00Z,2015-01-07T13:00:00+0100,14548,14262,269,,,1429
2015-01-07T13:00:00Z,2015-01-07T14:00:00+0100,14624,14067,183,,,1511
2015-01-07T14:00:00Z,2015-01-07T15:00:00+0100,14698,13870,88,,,1497
2015-01-07T15:00:00Z,2015-01-07T16:00:00+0100,15107,14130,18,,,1496
2015-01-07T16:00:00Z,2015-01-07T17:00:00+0100,16164,14820,0,,,1627
2015-01-07T17:00:00Z,2015-01-07T18:00:00+0100,15373,14168,0,,,1846
2015-01-07T18:00:00Z,2015-01-07T19:00:00+0100,14764,13459,0,,,2004
2015-01-07T19:00:00Z,2015-01-07T20:00:00+0100,13855,12620,0,,,2099
2015-01-07T20:00:00Z,2015-01-07T21:00:00+0100,12869,11810,0,,,2178
2015-01-07T21:00:00Z,2015-01-07T22:00:00+0100,11683,11038,0,,,2241
2015-01-07T22:00:00Z,2015-01-07T23:00:00+0100,10659,10401,0,,,2327
2015-01-07T23:00:00Z,2015-01-08T00:00:00+0100,9994,9604,0,,,2366
2015-01-08T00:00:00Z,2015-01-08T01:00:00+0100,9341,8959,0,,,2353
2015-01-08T01:00:00Z,2015-01-08T02:00:00+0100,9008,8505,0,,,2349
2015-01-08T02:00:00Z,2015-01-08T03:00:00+0100,8889,8222,0,,,2354
2015-01-08T03:00:00Z,2015-01-08T04:00:00+0100,8929,8122,0,,,2355
2015-01-08T04:00:00Z,2015-01-08T05:00:00+0100,9424,8323,0,,,2366
2015-01-08T05:00:00Z,2015-01-08T06:00:00+0100,10884,9015,0,,,2292
2015-01-08T06:00:00Z,2015-01-08T07:00:00+0100,13364,10163,0,,,2224
2015-01-08T07:00:00Z,2015-01-08T08:00:00+0100,15053,11081,0,,,2101
2015-01-08T08:00:00Z,2015-01-08T09:00:00+0100,15540,11601,1,,,2025
2015-01-08T09:00:00Z,2015-01-08T10:00:00+0100,15660,11997,7,,,1893
2015-01-08T10:00:00Z,2015-01-08T11:00:00+0100,15894,12216,10,,,1614
2015-01-08T11:00:00Z,2015-01-08T12:00:00+0100,15829,12214,10,,,1351
2015-01-08T12:00:00Z,2015-01-08T13:00:00+0100,15933,12254,13,,,1123
2015-01-08T13:00:00Z,2015-01-08T14:00:00+0100,15817,12210,7,,,1338
2015-01-08T14:00:00Z,2015-01-08T15:00:00+0100,15860,12177,4,,,943
2015-01-08T15:00:00Z,2015-01-08T16:00:00+0100,16098,12702,4,,,997
2015-01-08T16:00:00Z,2015-01-08T17:00:00+0100,16610,13659,0,,,1483
2015-01-08T17:00:00Z,2015-01-08T18:00:00+0100,15948,13464,0,,,1678
2015-01-08T18:00:00Z,2015-01-08T19:00:00+0100,15354,13070,0,,,1982
2015-01-08T19:00:00Z,2015-01-08T20:00:00+0100,14468,12548,0,,,1930
2015-01-08T20:00:00Z,2015-01-08T21:00:00+0100,13324,11853,0,,,1748
2015-01-08T21:00:00Z,2015-01-08T22:00:00+0100,12140,11037,0,,,1764
2015-01-08T22:00:00Z,2015-01-08T23:00:00+0100,11063,10142,0,,,1494
2015-01-08T23:00:00Z,2015-01-09T00:00:00+0100,9915,9256,0,,,1595
2015-01-09T00:00:00Z,2015-01-09T01:00:00+0100,9232,8593,0,,,1951
2015-01-09T01:00:00Z,2015-01-09T02:00:00+0100,8871,8221,0,,,2081
2015-01-09T02:00:00Z,2015-01-09T03:00:00+0100,8707,8079,0,,,2364
2015-01-09T03:00:00Z,2015-01-09T04:00:00+0100,8773,8111,0,,,2488
