name,bus0,bus1,carrier,p_nom_opt,capital_cost,marginal_cost,efficiency,annual_p0_positive_MWh,annual_p0_negative_MWh,annual_p1_positive_MWh,annual_p1_negative_MWh
DK_battery_charger,DK,DK_battery,battery charger,0.0,41650.76232417379,0.0,0.9772410142846032,0.0,-1.0913936421275139e-11,1.066554629816459e-11,0.0
DK_battery_discharger,DK_battery,DK,battery discharger,0.0,0.0,0.0,0.9772410142846032,0.0,0.0,0.0,0.0
DE_battery_charger,DE,DE_battery,battery charger,13864.854318816397,41650.76232417379,0.0,0.9772410142846032,9575901.55588292,0.0,0.0,-9357963.749160536
DE_battery_discharger,DE_battery,DE,battery discharger,14187.753191024498,0.0,0.0,0.9772410142846032,9357963.749160536,0.0,0.0,-9144985.98586819
SE_battery_charger,SE,SE_battery,battery charger,1965.1585238291564,41650.76232417379,0.0,0.9772410142846032,1054070.2101184216,0.0,0.0,-1030080.6412633113
SE_battery_discharger,SE_battery,SE,battery discharger,2010.9251403736525,0.0,0.0,0.9772410142846032,1030080.641263311,0.0,0.0,-1006637.0506630926
NO_battery_charger,NO,NO_battery,battery charger,1022.9412511684473,41650.76232417379,0.0,0.9772410142846032,495429.9767025695,0.0,0.0,-484154.49293981644
NO_battery_discharger,NO_battery,NO,battery discharger,1046.7645506234708,0.0,0.0,0.9772410142846032,484154.49293981644,0.0,0.0,-473135.62775095395
DK_CCGT,DK_CH4,DK,CCGT,0.0,136142.58958717366,5.744,0.57,0.0,0.0,0.0,0.0
DE_CCGT,DE_CH4,DE,CCGT,29957.61464447802,136142.58958717366,5.744,0.57,51731682.82267172,0.0,0.0,-29487059.208922878
SE_CCGT,SE_CH4,SE,CCGT,16552.44724832453,136142.58958717366,5.744,0.57,20919616.570079394,0.0,0.0,-11924181.444945253
NO_CCGT,NO_CH4,NO,CCGT,9190.742690058483,136142.58958717366,5.744,0.57,19480568.606259808,0.0,0.0,-11103924.10556809
NO_DK_CH4_NO_to_DK,NO_CH4,DK_CH4,CH4 pipeline,167800.07816160546,0.0,0.0,0.994,153878051.89145672,0.0,0.0,-152954783.580108
NO_DK_CH4_DK_to_NO,DK_CH4,NO_CH4,CH4 pipeline,0.0,0.0,0.0,0.994,0.0,0.0,0.0,0.0
NO_SE_CH4_NO_to_SE,NO_CH4,SE_CH4,CH4 pipeline,35837.274647201564,0.0,0.0,0.995,34065961.51961931,0.0,0.0,-33895631.71202122
NO_SE_CH4_SE_to_NO,SE_CH4,NO_CH4,CH4 pipeline,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.0
NO_DE_CH4_NO_to_DE,NO_CH4,DE_CH4,CH4 pipeline,0.0,0.0,0.0,0.991,0.0,0.0,0.0,0.0
NO_DE_CH4_DE_to_NO,DE_CH4,NO_CH4,CH4 pipeline,0.0,0.0,0.0,0.991,0.0,0.0,0.0,0.0
DK_SE_CH4_DK_to_SE,DK_CH4,SE_CH4,CH4 pipeline,0.0,0.0,0.0,0.997,0.0,0.0,0.0,0.0
DK_SE_CH4_SE_to_DK,SE_CH4,DK_CH4,CH4 pipeline,0.0,0.0,0.0,0.997,0.0,0.0,0.0,0.0
DK_DE_CH4_DK_to_DE,DK_CH4,DE_CH4,CH4 pipeline,158466.11534501894,0.0,0.0,0.9975,147990418.1551381,0.0,0.0,-147620442.10975027
DK_DE_CH4_DE_to_DK,DE_CH4,DK_CH4,CH4 pipeline,0.0,0.0,0.0,0.9975,0.0,0.0,0.0,0.0
DE_SE_CH4_DE_to_SE,DE_CH4,SE_CH4,CH4 pipeline,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0
DE_SE_CH4_SE_to_DE,SE_CH4,DE_CH4,CH4 pipeline,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0
DK_ASHP,DK,DK_heat,heat pump,1924.3017169846305,154461.39163752433,0.0,1.0,10143146.51728831,0.0,0.0,-37379295.71065438
DK_resistive_heater,DK,DK_heat,resistive heater,0.0,15280.641338661815,0.0,0.9,0.0,0.0,0.0,0.0
DK_gas_boiler,DK_CH4,DK_heat,gas boiler,8327.16234761689,65328.44635119197,0.0,0.975,4964365.424969863,0.0,0.0,-4840256.289345616
DK_water_tank_charger,DK_heat,DK_heat_storage,heat storage charger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DK_water_tank_discharger,DK_heat_storage,DK_heat,heat storage discharger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DE_ASHP,DE,DE_heat,heat pump,29199.724680004558,154461.39163752433,0.0,1.0,133402123.35027826,0.0,0.0,-481292082.5074536
DE_resistive_heater,DE,DE_heat,resistive heater,1444.7169570624565,15280.641338661815,0.0,0.9,989345.2084942376,0.0,0.0,-890410.6876448139
DE_gas_boiler,DE_CH4,DE_heat,gas boiler,128112.33541217838,65328.44635119197,0.0,0.975,95888759.28707856,0.0,0.0,-93491540.30490158
DE_water_tank_charger,DE_heat,DE_heat_storage,heat storage charger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DE_water_tank_discharger,DE_heat_storage,DE_heat,heat storage discharger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SE_ASHP,SE,SE_heat,heat pump,3901.8518813841224,154461.39163752433,0.0,1.0,20519036.17104477,0.0,0.0,-71382602.73660672
SE_resistive_heater,SE,SE_heat,resistive heater,0.0,15280.641338661815,0.0,0.9,0.0,0.0,0.0,0.0
SE_gas_boiler,SE_CH4,SE_heat,gas boiler,19105.641025641027,65328.44635119197,0.0,0.975,12976015.141941823,0.0,0.0,-12651614.763393277
SE_water_tank_charger,SE_heat,SE_heat_storage,heat storage charger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SE_water_tank_discharger,SE_heat_storage,SE_heat,heat storage discharger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NO_ASHP,NO,NO_heat,heat pump,1868.3804123411041,154461.39163752433,0.0,1.0,9972553.254079953,0.0,0.0,-36798135.10023372
NO_resistive_heater,NO,NO_heat,resistive heater,0.0,15280.641338661815,0.0,0.9,0.0,0.0,0.0,0.0
NO_gas_boiler,NO_CH4,NO_heat,gas boiler,8490.051065963442,65328.44635119197,0.0,0.975,5560427.589503874,0.0,0.0,-5421416.899766278
NO_water_tank_charger,NO_heat,NO_heat_storage,heat storage charger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NO_water_tank_discharger,NO_heat_storage,NO_heat,heat storage discharger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
