Type,Name,bus0,bus1,Generation [MW],Demand [MW],Imbalance [MW],Flow p0 [MW]
bus,DK,,,1797.2766701453447,3028.24,-1230.963329854655,
bus,DE,,,41582.98777661822,40126.0,1456.987776618218,
bus,SE,,,19107.987776618218,15191.0,3916.987776618218,
bus,NO,,,10985.747776618218,15128.76,-4143.012223381782,
bus,DK_battery,,,0.0,0.0,0.0,
bus,DE_battery,,,0.0,0.0,0.0,
bus,SE_battery,,,0.0,0.0,0.0,
bus,NO_battery,,,0.0,0.0,0.0,
line,DK_NO,DK,NO,,,,728.0122233817817
line,DK_SE,DK,SE,,,,-1286.9877766182183
line,DK_DE,DK,DE,,,,-671.9877766182183
line,DE_SE,DE,SE,,,,-615.0
line,NO_SE,NO,SE,,,,-2015.0
line,DE_NO,DE,NO,,,,1400.0
