Month,Exports total [GWh],Exports from DK surplus [GWh],Re-exported imports [GWh],Imports [GWh],DK generation [GWh],DK demand [GWh],Battery charge [GWh],Battery discharge [GWh]
1,418.3786793732378,190.04998173711664,228.32869763612112,1485.241325528034,2067.704179757076,3124.97293,186.87974992566438,181.41466784790666
2,813.8912205266269,603.6087472802651,210.28247324636172,1105.9372848825055,2547.368043243099,2842.7726900000002,202.75113995619222,210.9098158432272
3,899.2912572587317,761.3039847534425,137.9872725052891,1221.7121951818947,2579.8930646927543,2890.38508,229.67566645842138,222.817852156878
4,1444.494436925949,1299.510310482041,144.98412644390837,756.4500859097044,3330.729115501478,2625.7706200000002,299.1801261892285,288.83967985178106
5,2172.1399169792553,2050.1643831734573,121.9755338057977,562.7591144583901,4140.983526811437,2512.05646,427.7966454607744,417.7581325411984
6,2005.1424876634599,1877.778726965802,127.36376069765777,609.8250617318158,3932.6432180969946,2527.3147700000004,299.40259820178676,296.13122229452006
7,1840.3446989526528,1674.2472171713346,166.09748178131795,559.0271165309199,3657.7016327159286,2359.70049,337.387748212024,328.1730742263231
8,1798.6388948841477,1636.823108608892,161.81578627525585,628.3160807825063,3749.3862593361605,2554.11211,402.7102164494627,386.55651542775706
9,1495.0502649555963,1335.9519555935985,159.09830936199776,883.2018343110476,3125.6741532668416,2498.46046,320.8398164793104,312.58875691033336
10,807.4824298281545,517.2911268015771,290.19130302657743,926.9698516614326,2547.617116171739,2668.7584899999997,225.95921641732355,232.91405608772195
11,608.1088879011892,333.1772087426487,274.9316791585404,1170.5625757811151,2295.969320701332,2843.7807199999997,243.31891710777714,234.00228314600977
12,528.4791604995786,183.60775031205046,344.871410187528,1460.7324855022957,1932.7825206078542,2848.08443,192.44432393710446,179.5799662123307
