Month,DK-NO,DK-SE,DK-DE,DE-SE,NO-SE,DE-NO
1,46.56299650903394,32.22248260689275,29.158513738911473,97.93095440226908,28.974346456604025,90.02237568642325
2,64.32946938580811,35.291668970067114,24.463529810783665,96.40127112692436,33.86338457957545,83.55483554227274
3,62.85777882386638,33.544300965220344,28.996493522129093,98.22040690732314,30.08482170236011,82.21908722443493
4,71.5737086379676,36.786120540697496,28.5828473370806,95.73617857975783,30.533476096497886,84.35226096147605
5,76.20544581665611,49.86050624753008,35.08958447937865,95.46638829172328,28.29226470567236,81.70247744275588
6,71.94779685123865,47.75976538764161,37.26608558389559,94.68104519072035,28.014870961849986,82.74688534831071
7,74.88666921147038,39.541187298320445,29.939771508566054,94.69556167083758,30.875908457439436,83.36236938767973
8,75.17352348521865,41.5387826626113,29.486935801018266,95.62705548902002,33.6629391828618,84.60786294257109
9,71.66960824592167,42.72199109071992,31.478394978108255,96.94925744258929,34.03894586192135,83.08255412850544
10,65.37282746234749,25.93751453861272,18.227929892150115,96.14048991833775,37.266302726362504,90.68041892061166
11,56.705550246336884,33.35991087250208,21.122874437169887,93.26868205455501,38.85086876777191,91.8658460542759
12,55.40877197428879,41.38470044354772,21.9988540821357,98.21799844908705,43.94314390745403,90.4659892670355
