component,Generator,Generator,Generator,Generator,Generator,Generator
carrier,coal,gas CCGT,nuclear,offwind,onwind,solar
bus_carrier,AC,AC,AC,AC,AC,AC
snapshot,,,,,,
2016-01-01 00:00:00,,1143.30628,,1884.93372,,
2016-01-01 01:00:00,,1015.21403,,1873.30597,,
2016-01-01 02:00:00,,892.20247,,1869.36753,,
2016-01-01 03:00:00,,1188.26212,,1501.21788,,
2016-01-01 04:00:00,,1615.01669,,1080.59331,,
2016-01-01 05:00:00,,1981.75067,,796.91365,,0.07568
2016-01-01 06:00:00,,1858.56354,,1006.55078,,0.07568
2016-01-01 07:00:00,,2263.83888,,705.61704,,0.45408
2016-01-01 08:00:00,,2262.46878,,802.1649,,54.71632
2016-01-01 09:00:00,,2559.86144,,521.78602,,249.74254
2016-01-01 10:00:00,,2658.03933,,335.21686,,496.00381
2016-01-01 11:00:00,,2613.56273,,337.72995,,606.64732
2016-01-01 12:00:00,,2797.31609,,285.21752,,493.50639
2016-01-01 13:00:00,,3027.62161,,304.1595,,257.68889
2016-01-01 14:00:00,,3444.52383,,180.53024,,52.44593
2016-01-01 15:00:00,,3859.59355,,158.77509,,0.15136
2016-01-01 16:00:00,,3953.84881,,279.59119,,
2016-01-01 17:00:00,,3890.2701,,379.7399,,
2016-01-01 18:00:00,,3562.09636,,477.18796,,0.07568
2016-01-01 19:00:00,,3091.92849,,650.59151,,
2016-01-01 20:00:00,,2685.88871,,818.63129,,
2016-01-01 21:00:00,,1439.69167,,1830.50833,,
2016-01-01 22:00:00,,636.00648,,2391.00352,,
2016-01-01 23:00:00,,66.43758,,2766.54242,,
2016-01-02 00:00:00,,,,2663.7,,
2016-01-02 01:00:00,,,,2584.3,,
2016-01-02 02:00:00,,,,2570.2,,
2016-01-02 03:00:00,,,,2594.06,,
2016-01-02 04:00:00,,,,2735.5,,
2016-01-02 05:00:00,,,,2931.71,,
2016-01-02 06:00:00,,,,3237.57,,
2016-01-02 07:00:00,,,,3481.54864,,0.15136
2016-01-02 08:00:00,,,,3732.30472,,13.39528
2016-01-02 09:00:00,,,,3935.30082,,57.81918
2016-01-02 10:00:00,,,,3989.94861,,90.36139
2016-01-02 11:00:00,,,,3903.82736,,109.43264
2016-01-02 12:00:00,,,,3958.25265,,111.62735
2016-01-02 13:00:00,,,,3986.89312,,81.50688
2016-01-02 14:00:00,,,,4069.53117,,8.77883
2016-01-02 15:00:00,,179.96932,,4231.93932,,0.15136
2016-01-02 16:00:00,,637.56212,,4130.77788,,
2016-01-02 17:00:00,,589.85322,,4115.58678,,
2016-01-02 18:00:00,,245.25919,,4100.92081,,
2016-01-02 19:00:00,,,,4041.31,,
2016-01-02 20:00:00,,,,3762.71,,
2016-01-02 21:00:00,,,,3616.84,,
2016-01-02 22:00:00,,,,3282.07,,
2016-01-02 23:00:00,,,,3114.12,,
2016-01-03 00:00:00,,231.2306,,2753.7894,,
2016-01-03 01:00:00,,,,2930.99,,
2016-01-03 02:00:00,,,,2825.11,,
2016-01-03 03:00:00,,,,2890.73,,
2016-01-03 04:00:00,,,,2939.94432,,0.07568
2016-01-03 05:00:00,,,,3139.17,,
2016-01-03 06:00:00,,,,3388.86,,
2016-01-03 07:00:00,,,,3683.28529,,2.19471
2016-01-03 08:00:00,,,,3705.58528,,123.58472
2016-01-03 09:00:00,,,,3595.43492,,483.89508
2016-01-03 10:00:00,,,,3331.43099,,823.99901
2016-01-03 11:00:00,,,,3115.06609,,956.51391
2016-01-03 12:00:00,,,,3234.34051,,822.93949
2016-01-03 13:00:00,,,,3635.75265,,438.48735
2016-01-03 14:00:00,,349.20076,,3697.32526,,72.27398
2016-01-03 15:00:00,,719.55102,,3706.3649,,0.45408
2016-01-03 16:00:00,,1126.90819,,3693.31181,,
2016-01-03 17:00:00,,1080.19601,,3657.37831,,0.07568
2016-01-03 18:00:00,,845.8551,,3642.9749,,
2016-01-03 19:00:00,,607.17864,,3596.35136,,
