snapshot,electricity,solar,offshore wind,CCGT
2016-01-01 00:00:00,-3028.24,0.0,1859.25236,1168.98764
2016-01-01 01:00:00,-2888.52,0.0,1847.78303,1040.73697
2016-01-01 02:00:00,-2761.57,0.0,1843.89825,917.67175
2016-01-01 03:00:00,-2689.48,0.0,1480.76447,1208.71553
2016-01-01 04:00:00,-2695.61,0.0,1065.87072,1629.73928
2016-01-01 05:00:00,-2778.74,0.07478,786.05607,1992.60915
2016-01-01 06:00:00,-2865.19,0.07478,992.83698,1872.27824
2016-01-01 07:00:00,-2969.91,0.44868,696.00333,2273.45799
2016-01-01 08:00:00,-3119.35,54.06619,791.23576,2274.04805
2016-01-01 09:00:00,-3331.39,246.77513,514.67692,2569.93794
2016-01-01 10:00:00,-3489.26,490.11037,330.64968,2668.49995
2016-01-01 11:00:00,-3557.94,599.43924,333.12853,2625.37223
2016-01-01 12:00:00,-3576.04,487.64262,281.33156,2807.06582
2016-01-01 13:00:00,-3589.47,254.62707,300.01547,3034.82746
2016-01-01 14:00:00,-3677.5,51.82278,178.07059,3447.60663
2016-01-01 15:00:00,-4018.52,0.14956,156.61185,3861.75859
2016-01-01 16:00:00,-4233.44,0.0,275.78188,3957.65812
2016-01-01 17:00:00,-4270.01,0.0,374.56611,3895.44389
2016-01-01 18:00:00,-4039.36,0.07478,470.6865,3568.59872
2016-01-01 19:00:00,-3742.52,0.0,641.7275,3100.7925
2016-01-01 20:00:00,-3504.52,0.0,807.47782,2697.04218
2016-01-01 21:00:00,-3270.2,0.0,1805.56849,1464.63151
2016-01-01 22:00:00,-3027.01,0.0,2358.42719,668.58281
2016-01-01 23:00:00,-2832.98,0.0,2728.84954,104.13046
2016-01-02 00:00:00,-2663.7,0.0,2663.7,0.0
2016-01-02 01:00:00,-2584.3,0.0,2584.3,0.0
2016-01-02 02:00:00,-2570.2,0.0,2570.2,0.0
2016-01-02 03:00:00,-2594.06,0.0,2594.06,0.0
2016-01-02 04:00:00,-2735.5,0.0,2735.5,0.0
2016-01-02 05:00:00,-2931.71,0.0,2931.71,0.0
2016-01-02 06:00:00,-3237.57,0.0,3237.57,0.0
2016-01-02 07:00:00,-3481.7,0.14956,3481.55044,0.0
2016-01-02 08:00:00,-3745.7,13.23612,3732.46388,0.0
2016-01-02 09:00:00,-3993.12,57.13218,3935.98782,0.0
2016-01-02 10:00:00,-4080.31,89.28773,3991.02227,0.0
2016-01-02 11:00:00,-4013.26,108.13238,3905.12762,0.0
2016-01-02 12:00:00,-4069.88,110.30101,3959.57899,0.0
2016-01-02 13:00:00,-4068.4,80.53843,3987.86157,0.0
