Month,Exports total [GWh],Exports from DK surplus [GWh],Re-exported imports [GWh],Imports [GWh],DK generation [GWh],DK demand [GWh],Battery charge [GWh],Battery discharge [GWh]
1,509.5993968582629,257.6644313088798,251.93496554938315,1155.472878635792,2479.0994482224705,3124.97293,0.0,0.0
2,824.3799181191614,584.9448599388955,239.43505818026588,900.9383263104932,2766.214281808668,2842.7726900000002,0.0,0.0
3,797.8697693800578,606.2743496228944,191.5954197571633,1034.0099608550158,2654.244888525042,2890.38508,0.0,0.0
4,1251.714851820063,1054.6692104017181,197.04564141834462,636.8371981008909,3240.648273719172,2625.7706200000002,0.0,0.0
5,1881.8358772590425,1704.544043851945,177.2918334070979,492.0053690544762,3901.8869682045665,2512.05646,0.0,0.0
6,1736.372293791332,1555.6209241140025,180.7513696773295,560.3898874870866,3703.2971763042456,2527.3147700000004,0.0,0.0
7,1594.0815276183318,1378.5697326279437,215.51179499038844,495.66872283291485,3458.1132947854176,2359.70049,0.0,0.0
8,1543.773888358125,1339.0205084643385,204.75337989378633,607.4867614918326,3490.3992368662925,2554.11211,0.0,0.0
9,1178.1391375788571,988.5170402829373,189.62209729592007,898.284257518118,2778.315340060739,2498.46046,0.0,0.0
10,834.5171038065001,519.1518658950066,315.3652379114935,856.7669880566094,2646.5086057498906,2668.7584899999997,0.0,0.0
11,658.5511057942167,339.9070111310764,318.6440946631403,991.2255497181534,2511.1062760760633,2843.7807199999997,0.0,0.0
12,614.9517967128426,258.67704396325894,356.27475274958357,1277.6671784695145,2185.369048243328,2848.08443,0.0,0.0
