Month,Imports [GWh],Exports [GWh],Net Imports [GWh]
1,2330.364942866442,2326.806457572536,3.55848529390596
2,1790.5349201242875,2490.1455794317267,-699.6106593074392
3,1636.8015215162527,2849.987673930301,-1213.1861524140481
4,1332.847513630539,3313.104003508074,-1980.2564898775352
5,1104.8637504300302,3850.3125103414454,-2745.4487599114154
6,975.0574571025035,3739.78429552174,-2764.7268384192366
7,1097.3819781857692,3732.9478585959882,-2635.565880410219
8,1198.023413043586,3687.555713991521,-2489.532300947935
9,1295.0017938159851,3247.1112024060035,-1952.1094085900183
10,1868.7959557015586,2857.7877064160093,-988.9917507144507
11,1930.2237949257055,2447.438378662438,-517.2145837367325
12,2230.790073194517,2306.0223316267343,-75.23225843221735
