Country,Carrier,Optimized capacity [MW],Annual generation [GWh]
DE,coal,0.0,0.0
DE,gas CCGT,71056.45892636654,202763.43270606524
DE,nuclear,0.0,0.0
DE,offwind,70864.8215833934,298065.10871691606
DE,onwind,0.0,0.0
DE,solar,0.0,0.0
DK,coal,0.0,0.0
DK,gas CCGT,556.0308748941939,1555.1788992072093
DK,nuclear,0.0,0.0
DK,offwind,5428.1582675874415,17963.26364943785
DK,onwind,0.0,0.0
DK,solar,12122.788099690799,16296.760289920838
NO,coal,0.0,0.0
NO,gas CCGT,22756.2515538918,105711.15138450495
NO,nuclear,0.0,0.0
NO,offwind,0.0,0.0
NO,onwind,0.0,0.0
NO,solar,0.0,0.0
SE,coal,0.0,0.0
SE,gas CCGT,22413.2981661375,37037.35931570207
SE,nuclear,0.0,0.0
SE,offwind,0.0,0.0
SE,onwind,50523.94031435289,110244.98369824569
SE,solar,0.0,0.0
