Country,Generator,Carrier,Optimized capacity [MW],Annual generation [GWh]
DK,DK_solar,solar,17004.5113587866,22859.418848017165
DK,DK_onshore_wind,onwind,0.0,0.0
DK,DK_offshore_wind,offwind,4391.690741067231,14996.556292787482
DK,DK_CCGT,gas,2509.4177418466825,12609.975140164017
DK,DK_coal,coal,0.0,0.0
DK,DK_nuclear,nuclear,0.0,0.0
DE,DE_solar,solar,0.0,0.0
DE,DE_onshore_wind,onwind,0.0,0.0
DE,DE_offshore_wind,offwind,72282.09883744807,305241.21276795433
DE,DE_CCGT,gas,66831.0,191914.1725194979
DE,DE_coal,coal,0.0,0.0
DE,DE_nuclear,nuclear,0.0,0.0
SE,SE_solar,solar,0.0,0.0
SE,SE_onshore_wind,onwind,56877.161940683,119093.98687185941
SE,SE_offshore_wind,offwind,0.0,0.0
SE,SE_CCGT,gas,15325.612480227763,13628.183400738188
SE,SE_coal,coal,0.0,0.0
SE,SE_nuclear,nuclear,0.0,0.0
NO,NO_solar,solar,0.0,0.0
NO,NO_onshore_wind,onwind,0.0,0.0
NO,NO_offshore_wind,offwind,0.0,0.0
NO,NO_CCGT,gas,22864.8,109231.64397248282
NO,NO_coal,coal,0.0,0.0
NO,NO_nuclear,nuclear,0.0,0.0
