Month,DK-NO,DK-SE,DK-DE,DE-SE,NO-SE,DE-NO
1,42.564299030579356,26.514780880389246,25.85926495700135,96.64158153526851,30.26700063941749,99.73146154483433
2,54.18740048154086,31.559395878415483,23.753228276257097,95.6436245974993,32.66092918871757,94.9423712412695
3,44.486312645119476,31.299555792788613,27.98697500950579,96.94101932050638,27.52260676330169,95.0103252518995
4,60.21930184013503,31.53865282864553,25.118019577393373,95.23237793041815,28.3706055708057,91.83103324298857
5,67.21920475825925,42.088357199689504,30.788465833800952,94.51068283939281,25.859070426571883,85.95115571732465
6,63.67716741674122,42.50655300697977,32.155114985410414,93.76932881319948,25.85069185094303,86.233792094682
7,66.53036235773732,34.14251791879784,25.755901026940634,92.90092244443153,27.1580542432268,84.66736455193866
8,66.56374627778072,36.57718221764495,26.34182248339462,93.72659044792567,30.549417518158872,88.1806536830477
9,53.39023790152806,39.47982515705881,30.27318367026273,95.06753353856568,29.72738812637202,90.8250405157422
10,57.356306815567535,26.23853811029936,20.109014894445153,95.01865428172198,35.30078002741738,97.75422152264218
11,53.24193637743573,29.205500738222227,20.50853161807436,92.36113980768044,38.38491077010326,98.73523947026511
12,52.817882859900344,38.05671762107519,21.82004132990672,97.67782847548624,43.45125497213548,99.39971399427907
